,Unnamed: 0,STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,LATITUDE,LONGITUDE,x,y
33,33,ALDI INC #58,13974.0,5273.0,12571.0,A,2431 W MONTROSE AVE,60618,NORTH CENTER,5,47,17031050300,170311000000000.0,41.9611941,-87.68996697,442823.72319259064,4645697.854929914
34,34,ALDI INC #64,13976.0,5273.0,11760.0,A,1767 N MILWAUKEE AVE,60647,WEST TOWN,24,32,17031831000,170318000000000.0,41.91358779,-87.68220284,443425.0631020512,4640407.046375296
35,35,ALDI INC #83,13990.0,5273.0,16300.0,A,8333 S CICERO AVE,60652,ASHBURN,70,18,17031700302,170317000000000.0,41.74091107,-87.74092286,438390.05213001085,4621275.747597208
36,36,ALDI INC #92,13996.0,5273.0,19410.0,A,620 W 63RD ST,60621,ENGLEWOOD,68,16,17031680900,170317000000000.0,41.77992005,-87.64092551,446737.44168585155,4625539.959584561
37,37,ALDI INC STORE #16,1226990.0,5273.0,20848.0,A,1246 E 87TH ST,60619,AVALON PARK,45,8,17031834300,170318000000000.0,41.73691535,-87.59365662,450632.6764160761,4620737.17054034
38,38,ALDI INC STORE #62,14006.0,5273.0,9495.0,B,1739 W CERMAK RD,60608,LOWER WEST SIDE,31,25,17031843200,170318000000000.0,41.8521512,-87.6700746,444377.6006112173,4633577.971070261
39,39,ALDI INC STORE #90,14008.0,5273.0,16340.0,A,9017 S HALSTED ST,60620,AUBURN GRESHAM,71,21,17031711500,170317000000000.0,41.73029727,-87.64330909,446498.1628891438,4620032.074103848
40,40,ALDI INC STORE #95,14011.0,5273.0,37000.0,A,2333 E 95TH ST,60617,SOUTH DEERING,51,7,17031510300,170315000000000.0,41.72246624,-87.56667305,452866.02493495995,4619117.842703028
41,41,ALDI INC STORE 14,1242812.0,5273.0,15000.0,A,5629 W FILLMORE ST,60644,AUSTIN,25,29,17031831400,170318000000000.0,41.86731565,-87.76559794,436463.2427314185,4635327.924926538
42,42,ALDI INC. #96,1868821.0,5273.0,16117.0,A,821 W 115TH ST,60643,WEST PULLMAN,53,34,17031530300,170315000000000.0,41.68496064,-87.64302231,446484.4276394804,4614998.441929911
43,43,ALDI INC.#94,14010.0,5273.0,10001.0,A,6025 S WESTERN AVE,60636,CHICAGO LAWN,66,16,17031835000,170318000000000.0,41.78396584,-87.68362338,443192.6914018084,4626016.47360759
44,44,ALDI'S,1817904.0,5273.0,11179.0,A,6520 W FULLERTON AVE,60707,BELMONT CRAGIN,19,36,17031831500,170318000000000.0,41.9237604,-87.78874776,434599.6465310606,4641612.265392103
45,45,ALDI'S,1817903.0,5273.0,15255.0,A,4500 N BROADWAY,60640,UPTOWN,3,46,17031830700,170318000000000.0,41.96378896,-87.65660649,445590.465114221,4645964.237229163
46,46,ALDI'S # 26,1821323.0,5273.0,16550.0,A,10532 S INDIANAPOLIS AVE,60617,EAST SIDE,52,10,17031520100,170315000000000.0,41.70366236,-87.52571243,456260.25797504047,4617008.548181892
47,47,ALDI'S #08,1743166.0,5273.0,16890.0,A,7333 S STATE ST,60619,GREATER GRAND CROSSING,69,6,17031691000,170317000000000.0,41.76088087,-87.62466578,448073.3206505939,4623416.188158727
48,48,ALDI'S #47,1619769.0,5273.0,16370.0,A,1508 W 47TH ST,60609,NEW CITY,61,3,17031842600,170318000000000.0,41.80874139,-87.66291163,444935.0047676932,4628753.721077145
49,49,ALDI'S #93,1743165.0,5273.0,16890.0,A,7545 S WESTERN AVE,60620,ASHBURN,70,18,17031700100,170317000000000.0,41.75603509,-87.68285832,443231.645543095,4622914.948664571
50,50,ALDI'S FOODS BELMONT,1975886.0,5273.0,18600.0,A,3320 W BELMONT AVE,60618,AVONDALE,21,35,17031831100,170318000000000.0,41.93940519,-87.71090059,441068.9171394079,4643292.838340963
51,51,ALL STAR FOOD & LIQUOR,1922124.0,319069.0,4200.0,B,2911 S ARCHER AVE,60608,BRIDGEPORT,60,11,17031600700,170316000000000.0,41.84148404,-87.65802198,445369.0100095021,4632385.894534789
52,52,ALLA'S FOOD,1068956.0,204849.0,3500.0,B,2024 E 93RD ST,60617,CALUMET HEIGHTS,48,8,17031480400,170315000000000.0,41.72624035,-87.57429226,452235.07734835654,4619541.059700494
53,53,ALMUFLIHI FOOD & LIQUOR,62800.0,86373.0,4500.0,B,5404 S HALSTED ST,60609,NEW CITY,61,20,17031612100,170316000000000.0,41.7958708,-87.64534412,446383.5346613177,4627313.646559184
54,54,AM-PM FOOD MART & CELLULAR,1093813.0,207399.0,3500.0,B,1924 E 87TH ST,60617,AVALON PARK,45,8,17031450300,170315000000000.0,41.73714625,-87.57708099,452011.25075622014,4620753.430798544
55,55,ANAR INC,31219.0,14297.0,10001.0,A,935 E 79TH ST,60619,CHATHAM,44,8,17031440101,170314000000000.0,41.75121793,-87.60140141,449999.72993674874,4622329.580203758
56,56,ANDYS FRUIT RANCH,1275209.0,3868.0,15000.0,A,4733 N KEDZIE AVE,60625,ALBANY PARK,14,33,17031140800,170311000000000.0,41.96762916,-87.70830369,441310.09149488003,4646424.731830057
57,57,ARISTA FOODS,1473367.0,271891.0,10000.0,A,112 N MAY ST,60607,NEAR WEST SIDE,28,27,17031833000,170318000000000.0,41.88340212,-87.65572529,445595.23577700247,4637038.474651396
58,58,ARMITAGE PRODUCE INC,1771323.0,4469.0,14340.0,A,2007 N KIMBALL AVE,60647,LOGAN SQUARE,22,35,17031221100,170312000000000.0,41.91756242,-87.71175511,440977.94843785465,4640868.258327281
59,59,AROUND THE CLOCK,15860.0,6777.0,3000.0,B,1605 W HOWARD ST,60626,ROGERS PARK,1,49,17031010202,170310000000000.0,42.01926518,-87.67157207,444398.64304191066,4652133.346040577
60,60,ASHLAND FOOD AND LIQUORS,11636.0,5463.0,10001.0,A,1554 W 95TH ST,60643,WASHINGTON HEIGHTS,73,21,17031730201,170317000000000.0,41.72132699,-87.66253366,444891.64725198405,4619048.282330352
61,61,ATHENS GROCERY,971.0,185.0,2600.0,B,324 S HALSTED ST,60661,NEAR WEST SIDE,28,27,17031833100,170318000000000.0,41.87716213,-87.64736429,446283.71562375687,4636340.398556669
62,62,AVENUE FOOD MAR INC,1246771.0,20727.0,18000.0,A,6850 W BELMONT AVE,60634,DUNNING,17,36,17031171000,170312000000000.0,41.93823738,-87.79776035,433867.30333288066,4643226.538702827
63,63,AWAMI BAZAAR & ZABIHA MEAT,68226.0,20954.0,2500.0,B,2340 W DEVON AVE,60659,WEST RIDGE,2,50,17031020500,170310000000000.0,41.99785369,-87.68906427,442931.2719068521,4649767.542260491
64,64,B & H FOOD & GROCERY,6068.0,3550.0,4500.0,B,713 S ALBANY AVE,60612,EAST GARFIELD PARK,27,28,17031837300,170318000000000.0,41.87235004,-87.70327264,441640.21140455443,4635842.626982847
65,65,Baltimore Food & Liquor,1446831.0,270755.0,3404.0,B,13322 S BALTIMORE AVE,60633,HEGEWISCH,55,10,17031550100,170316000000000.0,41.65296461,-87.54729865,454428.50662012,4611391.109740433
66,66,BARI,1245246.0,246600.0,2500.0,B,1120 W GRAND AVE,60622,WEST TOWN,24,27,17031243500,170312000000000.0,41.89121012,-87.65556024,445615.5526186936,4637905.272516904
67,67,BERBATE FRUIT MARKET,1646036.0,296646.0,2500.0,B,3956 N NARRAGANSETT AVE,60634,DUNNING,17,38,17031170300,170312000000000.0,41.95273156,-87.78669844,434799.0897637772,4644827.337333053
68,68,BIG APPLE FINER FOODS INC,4900.0,3297.0,9000.0,B,2345 N CLARK ST,60614,LINCOLN PARK,7,43,17031071400,170311000000000.0,41.92496618,-87.63992602,446940.5142278077,4641643.343507
69,69,BOB'S LIQUORS & GROCERIES,957.0,86492.0,10001.0,A,5069 W MADISON ST,60644,AUSTIN,25,28,17031252201,170313000000000.0,41.88029609,-87.7524942,437563.3603284422,4636759.494524794
70,70,BOCKWINKELS,1491357.0,276156.0,7200.0,B,222 N COLUMBUS DR,60601,LOOP,32,42,17031320100,170313000000000.0,41.88633942,-87.62083615,448492.31933867146,4637343.065374379
71,71,BOULEVARD FOOD & LIQUOR LLC,1931999.0,336958.0,3350.0,B,5922 W IRVING PARK RD,60634,PORTAGE PARK,15,38,17031150402,170312000000000.0,41.95318259,-87.77525938,435747.6088261479,4644868.775134547
72,72,BROADWAY SUPERMARKET,50737.0,17352.0,15000.0,A,4879 N BROADWAY,60640,UPTOWN,3,48,17031031200,170310000000000.0,41.97117118,-87.65958098,445350.2935028407,4646785.770951408
73,73,BUDGET FINER FOODS,1337515.0,260726.0,3200.0,B,6604 N SHERIDAN RD,60626,ROGERS PARK,1,49,17031010502,170310000000000.0,42.00272611,-87.66093837,445264.8634979634,4650290.162400744
74,74,BURNHAM PLAZA MART,2014232.0,350131.0,2950.0,B,828 S WABASH AVE,60605,LOOP,32,2,17031320600,170313000000000.0,41.8714442,-87.62607513,448045.6015030459,4635692.448115591
75,75,BUSY BEE SUPERMARKET,1974525.0,343785.0,2500.0,B,5659 S ASHLAND AVE,60636,WEST ENGLEWOOD,67,16,17031670200,170317000000000.0,41.79048002,-87.66434507,444800.2650583828,4626727.157046608
76,76,BUY -N- SAVE,62460.0,19735.0,8000.0,B,209 E 103RD ST,60628,ROSELAND,49,9,17031490902,170315000000000.0,41.70713532,-87.61824173,448564.4736949721,4617445.260563324
77,77,CAESAR'S FOODS INC,13670.0,6312.0,10001.0,A,901 N DAMEN AVE,60622,WEST TOWN,24,32,17031242200,170312000000000.0,41.89777928,-87.67695887,443846.09509253514,4638648.415267664
78,78,"CALABRIA IMPORTS, INC.",1357606.0,264103.0,3100.0,B,1905 W 103RD ST,60643,BEVERLY,72,19,17031720700,170317000000000.0,41.70647332,-87.66935499,444311.43814416556,4617403.5547318
79,79,"CALMA OPTIMAL DELI, INC.",1991322.0,346718.0,3000.0,B,5155 W ADDISON ST,60641,PORTAGE PARK,15,38,17031151001,170312000000000.0,41.9458951,-87.75664585,437283.138211712,4644045.865147722
80,80,CARNICERIA DEL RIO,1801493.0,314238.0,3000.0,B,2714 W CERMAK RD,60608,SOUTH LAWNDALE,30,28,17031840700,170318000000000.0,41.85203474,-87.69369691,442416.6150673183,4633580.612143693
81,81,CARNICERIA EL PORVENIR,1768971.0,311076.0,2500.0,B,150 E KENSINGTON AVE,60628,WEST PULLMAN,53,9,17031530100,170315000000000.0,41.6840632,-87.61874297,448504.37106522534,4614884.007763893
82,82,CARNICERIA GUANAJUATO,2069477.0,358374.0,9325.0,B,5250 W FULLERTON AVE,60639,BELMONT CRAGIN,19,31,17031190702,170312000000000.0,41.92418915,-87.75822974,437130.53711946553,4641637.042968495
83,83,CARNICERIA GUANAJUATO #3,2060960.0,357299.0,9000.0,B,3132 N CALIFORNIA AVE,60618,AVONDALE,21,33,17031210800,170312000000000.0,41.93856972,-87.69794595,442142.0604406592,4643191.252673925
84,84,CARNICERIA GUANJUATO #3,17340.0,63206.0,8800.0,B,1436 N ASHLAND AVE,60622,WEST TOWN,24,1,17031241500,170312000000000.0,41.90811537,-87.66776383,444617.7628186791,4639790.0310588265
85,85,CARNICERIA JIMENEZ #2,48081.0,16943.0,19000.0,A,3850 W FULLERTON AVE,60647,LOGAN SQUARE,22,30,17031220701,170312000000000.0,41.92462832,-87.72395332,439973.0332130632,4641661.240233696
86,86,CARNICERIA JIMENEZ INC,1693.0,85292.0,16000.0,A,4204 W NORTH AVE,60639,HUMBOLDT PARK,23,30,17031230500,170312000000000.0,41.90992525,-87.73155722,439328.6228669692,4640034.135280913
87,87,CARNICERIA LA AZTECA,1354069.0,262231.0,2500.0,B,7067 N CLARK ST,60626,ROGERS PARK,1,49,17031010702,170310000000000.0,42.01096295,-87.67421466,444172.5939139831,4651213.2698048465
88,88,CARNICERIA LA GLORIA,1471030.0,271545.0,6500.0,B,2551 W 51ST ST,60632,GAGE PARK,63,14,17031630500,170316000000000.0,41.80096928,-87.6887221,442784.12261305377,4627907.674298794
89,89,"CARNICERIA LA GLORIA NO. 2, INC.",1514813.0,279304.0,7500.0,B,2744 W 55TH ST,60632,GAGE PARK,63,14,17031630500,170316000000000.0,41.79381183,-87.6931506,442409.81330310385,4627115.969671858
90,90,"CARNICERIA LA HACIENDA, INC.",1492826.0,276948.0,4000.0,B,3459 W 59TH ST,60629,CHICAGO LAWN,66,16,17031660400,170317000000000.0,41.7860244,-87.71060478,440952.4839142193,4626263.204428951
91,91,"CARNICERIA LA MEJOR PRODUCE, INC.",1800292.0,313836.0,4500.0,B,2915 N MILWAUKEE AVE,60618,AVONDALE,21,35,17031210602,170312000000000.0,41.9343144,-87.715772,440660.3733721938,4642730.975572612
92,92,CARNICERIA LA VILLA #2,2060542.0,357089.0,3289.0,B,5800 W GRAND AVE,60639,BELMONT CRAGIN,19,37,17031191302,170312000000000.0,41.9197749,-87.77072653,436089.9400730653,4641156.173740673
93,93,CARNICERIA RICARDO,35191.0,15006.0,5000.0,B,4419 W DIVERSEY AVE,60639,HERMOSA,20,31,17031200200,170312000000000.0,41.93154075,-87.73757251,438850.38623817445,4642438.340420497
94,94,CARNICERIA&FRUTERIA EL MITOTE,49322.0,17160.0,4500.0,B,4459 W BELMONT AVE,60641,HERMOSA,20,31,17031200100,170312000000000.0,41.93881951,-87.7394338,438703.0425208804,4643247.820179169
95,95,CENTRAL PARK FOODS INC,13813.0,6373.0,8000.0,B,3604 W GRAND AVE,60651,HUMBOLDT PARK,23,26,17031231200,170312000000000.0,41.90247367,-87.71681747,440544.1509502237,4639196.480121997
96,96,CENTRO MARKET,66257.0,20469.0,9100.0,B,5153 S KEDZIE AVE,60632,GAGE PARK,63,14,17031630400,170316000000000.0,41.79925704,-87.70357471,441548.67280256224,4627727.564545878
97,97,CERMAK PRODUCE,53313.0,17784.0,10000.0,A,4800 W DIVERSEY AVE,60639,BELMONT CRAGIN,19,31,17031190200,170312000000000.0,41.93164142,-87.74671991,438092.09929525084,4642456.082359243
98,98,CERMAK PRODUCE,1574003.0,286531.0,14000.0,A,4401 W ARMITAGE AVE,60639,HERMOSA,20,31,17031831200,170318000000000.0,41.91693444,-87.73638715,438934.7340719332,4640815.78064913
99,99,CERMAK PRODUCE,1476657.0,273150.0,15000.0,A,1711 W CERMAK RD,60608,LOWER WEST SIDE,31,25,17031843200,170318000000000.0,41.85216786,-87.66897504,444468.8891515298,4633579.109113803
100,100,CERMAK PRODUCE,1770942.0,311980.0,17000.0,A,3311 W 26TH ST,60623,SOUTH LAWNDALE,30,22,17031840800,170318000000000.0,41.84436673,-87.70789805,441230.76194537216,4632738.877801639
101,101,CERMAK PRODUCE,1515206.0,279468.0,25000.0,A,5220 S PULASKI RD,60632,WEST ELSDON,62,23,17031620200,170316000000000.0,41.79799187,-87.72344374,439896.80864500307,4627600.799653065
102,102,CERMAK PRODUCE,1476654.0,273149.0,29000.0,A,4234 N KEDZIE AVE,60618,IRVING PARK,16,33,17031160501,170312000000000.0,41.95859672,-87.70830958,441301.3132550584,4645421.872603465
103,103,CERMAK PRODUCE #5 LTD,1649774.0,298958.0,10000.0,A,3435 S ARCHER AVE,60608,MCKINLEY PARK,59,11,17031840300,170318000000000.0,41.8313499,-87.67584785,443880.191376212,4631272.228208839
104,104,CERMAK PRODUCE NO.4,69608.0,21223.0,17000.0,A,2701 W NORTH AVE,60647,WEST TOWN,24,26,17031241000,170312000000000.0,41.91013224,-87.69460039,442393.82436740707,4640031.635668836
105,105,CHARLIES  SUPERMARKET INC.,1441898.0,268397.0,2500.0,B,2941 W MONTROSE AVE,60618,IRVING PARK,16,33,17031160601,170312000000000.0,41.96111443,-87.70258694,441777.85166618566,4645697.507178765
106,106,CHATHAM FOOD MARKET,1904290.0,331037.0,4500.0,B,327 E 79TH ST,60619,CHATHAM,44,6,17031440300,170314000000000.0,41.75097268,-87.61695788,448706.17037673667,4622311.508680768
107,107,CHICAGO FOOD CORP,1169745.0,11429.0,10000.0,A,5800 N PULASKI RD,60646,NORTH PARK,13,39,17031130200,170311000000000.0,41.98592799,-87.72866342,439640.3609133786,4648470.586657346
108,108,CHICAGO GROCERS,1332221.0,258200.0,2500.0,B,2122 W DEVON AVE,60659,WEST RIDGE,2,50,17031020500,170310000000000.0,41.99794589,-87.68356871,443386.5016120968,4649774.131082882
109,109,Chicago Health - Maple Street,2065274.0,357879.0,2900.0,B,22 W MAPLE ST,60610,NEAR NORTH SIDE,8,42,17031081100,170311000000000.0,41.90198255,-87.6292631,447805.9121759026,4639084.976065756
110,110,CHICAGO PRODUCE,1865.0,368.0,13500.0,A,3500 W LAWRENCE AVE,60625,ALBANY PARK,14,39,17031140200,170311000000000.0,41.96848537,-87.71587133,440683.8291127056,4646525.007799881
111,111,CICERO DELI INC.,20884.0,8639.0,3600.0,B,3206 N CICERO AVE,60641,PORTAGE PARK,15,30,17031151002,170312000000000.0,41.93904667,-87.74702197,438074.2207567409,4643278.495248725
112,112,CITY GROCERY,1979483.0,344633.0,5000.0,B,405 N WABASH AVE,60611,NEAR NORTH SIDE,8,42,17031081500,170311000000000.0,41.88946533,-87.62650927,448024.1807160036,4637693.547830515
113,113,CLARENDON FOOD MART INC,29515.0,11687.0,10000.0,A,4183 N CLARENDON AVE,60613,UPTOWN,3,46,17031031400,170310000000000.0,41.9580048,-87.64965374,446161.7367500132,4645317.636829703
114,114,CLYBOURN MARKET,40522.0,15968.0,3500.0,B,2807 N CLYBOURN AVE,60618,NORTH CENTER,5,1,17031051400,170311000000000.0,41.93257918,-87.67832746,443763.1289534023,4642513.077347887
115,115,COMMERCIAL GROCERY,56894.0,23932.0,2500.0,B,3004 E 100TH ST,60617,SOUTH DEERING,51,10,17031510100,170315000000000.0,41.71349784,-87.55073311,454185.4915593432,4618113.53074756
116,116,CORCORANS PANTRY INC,9412.0,4333.0,4200.0,B,1105 W BRYN MAWR AVE,60660,EDGEWATER,77,48,17031030701,170310000000000.0,41.98354479,-87.65826767,445469.6658686643,4648158.766057564
117,117,COTTAGE GROVE FOOD MART,1898994.0,329883.0,4000.0,B,6307 S COTTAGE GROVE AVE,60637,WOODLAWN,42,20,17031420800,170314000000000.0,41.78015196,-87.60577752,449658.5242300994,4625544.53382071
118,118,COUNTY FAIR FOODS,37096.0,15344.0,10001.0,A,10800 S WESTERN AVE,60643,MORGAN PARK,75,19,17031750300,170318000000000.0,41.69723821,-87.6814748,443294.9833144841,4616386.144643248
119,119,CRESPO'S FOOD MART,40132.0,15902.0,2800.0,B,4353 W MADISON ST,60624,WEST GARFIELD PARK,26,28,17031260600,170313000000000.0,41.880505,-87.73512285,439004.9194691975,4636770.1971519245
120,120,CUENCA'S BAKERY & GROCERIES,1619464.0,292181.0,4500.0,B,4229 W MONTROSE AVE,60641,IRVING PARK,16,38,17031160300,170312000000000.0,41.96076752,-87.73394693,439178.759334351,4645680.774001508
121,121,CUPBOARD FOOD & LIQUOR,7110.0,3758.0,3000.0,B,3260 W 55TH ST,60632,GAGE PARK,63,14,17031630300,170316000000000.0,41.79358918,-87.70594578,441346.52097775205,4627099.900556418
122,122,D & A FOOD & LIQUOR,46444.0,7945.0,5500.0,B,1601 W GARFIELD BLVD,60636,WEST ENGLEWOOD,67,15,17031670300,170317000000000.0,41.79355436,-87.66463755,444778.6019040011,4627068.675533433
123,123,DANNY'S FRESH MARKET,1888080.0,326926.0,14405.0,A,2140 N WESTERN AVE,60647,LOGAN SQUARE,22,1,17031221500,170312000000000.0,41.92109627,-87.68767101,442978.2711890707,4641244.320311759
124,124,DEVON MARKET,1042888.0,201952.0,18500.0,A,1440 W DEVON AVE,60660,ROGERS PARK,1,40,17031010600,170310000000000.0,41.99822825,-87.66710447,444750.3290023336,4649794.726834657
125,125,DIA FOOD & LIQUOR,41854.0,16133.0,4500.0,B,1478 W 115TH ST,60643,MORGAN PARK,75,34,17031750600,170318000000000.0,41.6849558,-87.65972583,445094.264889077,4615008.4153595
126,126,DILILAH GROCERY,1986580.0,346168.0,3125.0,B,1759 W 21ST ST,60608,LOWER WEST SIDE,31,25,17031310800,170313000000000.0,41.85396788,-87.67087019,444313.13477717084,4633780.186988431
127,127,DISCOUNT MEAT COMPANY,13820.0,6377.0,4160.0,B,339 W 79TH ST,60620,CHATHAM,44,17,17031842400,170318000000000.0,41.75068744,-87.63338093,447340.5198375326,4622289.761142962
